노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
사랑은 늘 도망가,임영웅,9,0,0,1,0,0,0,2,0,11,4
코 끝이 찡하게,차가을,8,0,1,0,0,0,0,0,1,4,1
혼자 사랑하고 미워해,백예슬,7,1,1,0,0,2,0,2,0,6,0
비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),19,2,5,2,0,3,1,1,0,5,0
Your Lights,이수 (엠씨더맥스),6,0,2,0,0,2,0,1,0,3,1
너와 나 우리 (Feat. ZELO of B.A.P),이예준,8,0,0,0,0,0,0,4,0,4,0
별이 쏟아지는 밤,려욱 (RYEOWOOK),6,0,0,0,0,0,0,0,0,1,1
헤픈 우연,헤이즈 (Heize),9,0,0,0,0,0,0,0,4,3,2
Falling,Harry Styles,5,0,0,0,0,0,0,0,0,0,0
High,5 Seconds of Summer,5,0,0,0,0,0,0,0,0,0,0
If the World Was Ending (feat. Julia Michaels) (Feat. Julia Michaels),JP Saxe,5,0,0,0,0,0,0,0,0,0,0
그냥 안아달란 말야,다비치,9,0,0,0,0,0,0,2,0,1,0
2 soon,keshi,5,0,0,0,0,0,0,0,0,0,0
r u ok,Tate McRae,5,0,0,0,0,0,0,0,0,0,0
cheap sunglasses,John K,5,0,0,0,0,0,0,0,0,0,0
Rain,태연 (TAEYEON),7,0,0,0,0,0,1,3,2,0,1
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),14,2,0,0,0,0,0,0,2,8,2
기다릴게,"하동균, 봉구",9,0,0,0,0,0,0,4,1,7,1
사랑하기 싫어,영지,10,0,0,0,0,1,2,0,0,3,0
Gone,로제 (ROSÉ),5,0,0,0,0,0,0,0,0,0,0
To Die For (Acoustic),Sam Smith,5,0,0,0,0,0,0,0,0,0,0
"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH),9,3,6,3,1,1,1,2,1,1,2
rainy day,"휘성 (Realslow), 태일 (블락비), 청하",18,0,0,0,1,0,0,3,1,1,0
LMM,화사 (Hwa Sa),6,0,0,0,0,0,0,0,1,0,1
"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),8,0,4,0,0,0,0,1,0,2,0
멜로디,ASH ISLAND,6,1,0,1,0,1,0,0,0,0,1
